Title,Rating,Genre,Release Date,Production Company,Budget,Gross Worldwide
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,Drama,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Love Lies Bleeding,6.7,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Love Lies Bleeding,6.7,Adventure,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Love Lies Bleeding,6.7,Crime,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Chandu Champion,8.6,Action,2024-06-14,AA Films,Budget not found.,67280
Chandu Champion,8.6,Biography,2024-06-14,AA Films,Budget not found.,67280
Chandu Champion,8.6,Drama,2024-06-14,AA Films,Budget not found.,67280
Top Gun: Maverick,8.2,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Top Gun: Maverick,8.2,Drama,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Road House,6.2,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Road House,6.2,Thriller,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Madame Web,3.9,Action,2024-02-14,Columbia Pictures,80000000,100298817
Madame Web,3.9,Adventure,2024-02-14,Columbia Pictures,80000000,100298817
Madame Web,3.9,Sci-Fi,2024-02-14,Columbia Pictures,80000000,100298817
Bade Miyan Chote Miyan,4.2,Action,2024-04-11,AAZ Films,350000000,2635333
Bade Miyan Chote Miyan,4.2,Sci-Fi,2024-04-11,AAZ Films,350000000,2635333
Bade Miyan Chote Miyan,4.2,Thriller,2024-04-11,AAZ Films,350000000,2635333
Boy Kills World,6.4,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Boy Kills World,6.4,Crime,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Boy Kills World,6.4,Thriller,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Bullet Train,7.3,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Bullet Train,7.3,Comedy,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Bullet Train,7.3,Thriller,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
The Beekeeper,6.4,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
The Beekeeper,6.4,Crime,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
The Beekeeper,6.4,Thriller,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Monkey Man,6.9,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Monkey Man,6.9,Crime,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Monkey Man,6.9,Thriller,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Die Hart: Die Harter,4.2,Action,2024-05-30,Production company not found.,Budget not found.,Gross worldwide not found.
Die Hart: Die Harter,4.2,Comedy,2024-05-30,Production company not found.,Budget not found.,Gross worldwide not found.
